Date,Time,Open,High,Low,Close,Vol,OI
2025-05-13,13:34:00,23079,23083,23075,23081,90,0
2025-05-13,13:35:00,23082,23086,23077,23086,102,0
2025-05-13,13:36:00,23087,23093,23083,23093,91,0
2025-05-13,13:37:00,23093,23111,23093,23108,133,0
2025-05-13,13:38:00,23107,23111,23095,23095,105,0
2025-05-13,13:39:00,23095,23108,23091,23106,126,0
2025-05-13,13:40:00,23107,23113,23100,23111,87,0
2025-05-13,13:41:00,23110,23113,23107,23108,111,0
2025-05-13,13:42:00,23109,23118,23107,23115,91,0
2025-05-13,13:43:00,23113,23120,23108,23111,92,0
2025-05-13,13:44:00,23109,23118,23104,23116,116,0
2025-05-13,13:45:00,23118,23126,23118,23125,112,0
2025-05-13,13:46:00,23123,23130,23123,23126,77,0
2025-05-13,13:47:00,23125,23126,23120,23124,99,0
2025-05-13,13:48:00,23123,23130,23123,23125,57,0
2025-05-13,13:49:00,23124,23124,23113,23113,111,0
2025-05-13,13:50:00,23113,23115,23107,23110,108,0
2025-05-13,13:51:00,23108,23116,23107,23116,88,0
2025-05-13,13:52:00,23118,23121,23115,23120,91,0
2025-05-13,13:53:00,23121,23122,23113,23113,68,0
2025-05-13,13:54:00,23112,23115,23110,23111,55,0
2025-05-13,13:55:00,23113,23122,23113,23122,67,0
2025-05-13,13:56:00,23123,23137,23120,23136,138,0
2025-05-13,13:57:00,23137,23140,23133,23135,77,0
2025-05-13,13:58:00,23134,23143,23134,23140,82,0
2025-05-13,13:59:00,23139,23143,23139,23141,66,0
2025-05-13,14:00:00,23142,23149,23137,23139,195,0
2025-05-13,14:01:00,23141,23144,23131,23136,169,0
2025-05-13,14:02:00,23135,23142,23133,23138,83,0
2025-05-13,14:03:00,23139,23146,23139,23143,119,0
2025-05-13,14:04:00,23143,23149,23140,23140,97,0
2025-05-13,14:05:00,23140,23144,23129,23132,122,0
2025-05-13,14:06:00,23132,23133,23121,23121,108,0
2025-05-13,14:07:00,23122,23126,23111,23111,116,0
2025-05-13,14:08:00,23111,23121,23111,23119,61,0
2025-05-13,14:09:00,23118,23118,23098,23101,185,0
2025-05-13,14:10:00,23102,23113,23101,23107,80,0
2025-05-13,14:11:00,23105,23106,23099,23104,74,0
2025-05-13,14:12:00,23105,23116,23104,23116,91,0
2025-05-13,14:13:00,23117,23124,23117,23118,84,0
2025-05-13,14:14:00,23116,23127,23114,23125,110,0
2025-05-13,14:15:00,23125,23128,23118,23118,72,0
2025-05-13,14:16:00,23118,23118,23109,23112,117,0
2025-05-13,14:17:00,23110,23110,23099,23099,127,0
2025-05-13,14:18:00,23101,23101,23089,23093,104,0
2025-05-13,14:19:00,23091,23100,23087,23091,109,0
2025-05-13,14:20:00,23089,23099,23088,23096,60,0
2025-05-13,14:21:00,23098,23102,23097,23099,70,0
2025-05-13,14:22:00,23100,23103,23094,23095,90,0
2025-05-13,14:23:00,23096,23097,23092,23092,49,0
2025-05-13,14:24:00,23092,23092,23085,23086,77,0
2025-05-13,14:25:00,23085,23095,23085,23092,135,0
2025-05-13,14:26:00,23091,23094,23090,23091,84,0
2025-05-13,14:27:00,23090,23091,23088,23091,50,0
2025-05-13,14:28:00,23091,23105,23091,23105,76,0
2025-05-13,14:29:00,23103,23108,23100,23106,128,0
2025-05-13,14:30:00,23107,23116,23107,23112,115,0
2025-05-13,14:31:00,23112,23120,23109,23119,91,0
2025-05-13,14:32:00,23118,23127,23116,23119,125,0
2025-05-13,14:33:00,23120,23123,23116,23123,99,0
2025-05-13,14:34:00,23121,23127,23120,23123,84,0
2025-05-13,14:35:00,23125,23127,23120,23124,61,0
2025-05-13,14:36:00,23123,23125,23111,23113,84,0
2025-05-13,14:37:00,23112,23112,23099,23104,89,0
2025-05-13,14:38:00,23105,23107,23098,23100,77,0
2025-05-13,14:39:00,23099,23100,23091,23095,78,0
2025-05-13,14:40:00,23094,23095,23090,23091,70,0
2025-05-13,14:41:00,23091,23097,23090,23092,111,0
2025-05-13,14:42:00,23093,23109,23093,23107,122,0
2025-05-13,14:43:00,23107,23112,23107,23108,73,0
2025-05-13,14:44:00,23109,23119,23109,23116,94,0
2025-05-13,14:45:00,23115,23120,23114,23114,86,0
2025-05-13,14:46:00,23116,23119,23110,23110,49,0
2025-05-13,14:47:00,23109,23109,23101,23102,35,0
2025-05-13,14:48:00,23099,23100,23091,23092,72,0
2025-05-13,14:49:00,23090,23092,23083,23083,116,0
2025-05-13,14:50:00,23084,23089,23081,23084,155,0
2025-05-13,14:51:00,23083,23084,23077,23077,132,0
2025-05-13,14:52:00,23075,23076,23069,23073,209,0
2025-05-13,14:53:00,23072,23074,23070,23072,117,0
2025-05-13,14:54:00,23073,23074,23067,23069,123,0
2025-05-13,14:55:00,23069,23074,23069,23071,103,0
2025-05-13,14:56:00,23072,23076,23071,23071,106,0
2025-05-13,14:57:00,23071,23071,23062,23063,118,0
2025-05-13,14:58:00,23064,23068,23062,23063,110,0
2025-05-13,14:59:00,23062,23063,23051,23052,169,0
2025-05-13,15:00:00,23053,23061,23052,23058,182,0
2025-05-13,15:01:00,23057,23060,23052,23057,135,0
2025-05-13,15:02:00,23056,23059,23048,23057,116,0
2025-05-13,15:03:00,23056,23056,23048,23049,66,0
2025-05-13,15:04:00,23051,23051,23044,23047,97,0
2025-05-13,15:05:00,23046,23047,23033,23043,240,0
2025-05-13,15:06:00,23042,23042,23026,23037,245,0
2025-05-13,15:07:00,23037,23044,23034,23036,112,0
2025-05-13,15:08:00,23037,23040,23031,23036,131,0
2025-05-13,15:09:00,23038,23046,23038,23046,168,0
2025-05-13,15:10:00,23046,23053,23045,23049,105,0
2025-05-13,15:11:00,23049,23059,23047,23058,84,0
2025-05-13,15:12:00,23057,23062,23057,23061,112,0
2025-05-13,15:13:00,23061,23061,23056,23058,93,0
2025-05-13,15:14:00,23058,23060,23049,23051,156,0
2025-05-13,15:15:00,23051,23059,23049,23059,69,0
2025-05-13,15:16:00,23058,23060,23056,23060,113,0
2025-05-13,15:17:00,23059,23060,23053,23054,68,0
2025-05-13,15:18:00,23053,23057,23051,23057,52,0
2025-05-13,15:19:00,23057,23059,23054,23057,49,0
2025-05-13,15:20:00,23055,23060,23053,23055,85,0
2025-05-13,15:21:00,23055,23056,23045,23046,111,0
2025-05-13,15:22:00,23045,23050,23044,23044,47,0
2025-05-13,15:23:00,23044,23046,23042,23045,70,0
2025-05-13,15:24:00,23045,23045,23040,23040,47,0
2025-05-13,15:25:00,23040,23045,23039,23042,110,0
2025-05-13,15:26:00,23045,23048,23044,23048,64,0
2025-05-13,15:27:00,23047,23052,23044,23044,167,0
2025-05-13,15:28:00,23043,23048,23036,23036,81,0
2025-05-13,15:29:00,23036,23037,23026,23029,113,0
2025-05-13,15:30:00,23028,23029,23018,23026,210,0
2025-05-13,15:31:00,23024,23029,23022,23024,141,0
2025-05-13,15:32:00,23023,23033,23023,23033,140,0
2025-05-13,15:33:00,23032,23037,23025,23036,84,0
2025-05-13,15:34:00,23037,23044,23036,23038,119,0
2025-05-13,15:35:00,23039,23041,23036,23036,82,0
2025-05-13,15:36:00,23038,23038,23019,23019,204,0
2025-05-13,15:37:00,23018,23022,23011,23012,136,0
2025-05-13,15:38:00,23013,23016,23008,23013,120,0
2025-05-13,15:39:00,23013,23021,23013,23017,126,0
2025-05-13,15:40:00,23016,23018,23005,23008,298,0
2025-05-13,15:41:00,23009,23012,23006,23007,82,0
2025-05-13,15:42:00,23006,23016,23004,23014,72,0
2025-05-13,15:43:00,23013,23013,22999,23001,247,0
2025-05-13,15:44:00,23003,23006,22999,23005,120,0
2025-05-13,15:45:00,23006,23012,23003,23006,196,0
2025-05-13,15:46:00,23005,23009,22999,23003,197,0
2025-05-13,15:47:00,23003,23003,22992,22995,121,0
2025-05-13,15:48:00,22995,22996,22986,22989,285,0
2025-05-13,15:49:00,22990,22997,22988,22996,178,0
2025-05-13,15:50:00,22996,22998,22990,22996,154,0
2025-05-13,15:51:00,22996,23005,22995,23004,166,0
2025-05-13,15:52:00,23002,23004,22995,22999,160,0
2025-05-13,15:53:00,22998,23001,22997,23000,175,0
